university_id,university_name,web_page,domains,province_id,insert_timestamp
1,"Acadia University",http://www.acadiau.ca/,acadiau.ca,1,"2022-02-24 17:19:14"
2,"Algonquin College",http://www.algonquincollege.com/,algonquincollege.com,2,"2022-02-24 17:19:15"
3,"Ashton College",http://www.ashtoncollege.com/,ashtoncollege.com,3,"2022-02-24 17:19:15"
4,"Assumption University",http://www.assumptionu.ca/,assumptionu.ca,2,"2022-02-24 17:19:15"
5,"Athabasca University",http://www.athabascau.ca/,athabascau.ca,4,"2022-02-24 17:19:15"
6,"Augustana University College",http://www.augustana.ab.ca/,augustana.ab.ca,4,"2022-02-24 17:19:16"
7,"British Columbia Institute of Technology",http://www.bcit.ca/,bcit.ca,3,"2022-02-24 17:19:16"
8,"British Columbia Open University",http://www.bcou.ca/,bcou.ca,3,"2022-02-24 17:19:16"
9,"William and Catherine Booth College",http://www.boothcollege.ca/,boothcollege.ca,5,"2022-02-24 17:19:16"
10,"Bow Valley College",http://www.bowvalleycollege.ca/,bowvalleycollege.ca,4,"2022-02-24 17:19:17"
11,"Brandon University",http://www.brandonu.ca/,brandonu.ca,5,"2022-02-24 17:19:17"
12,"Brock University",http://www.brocku.ca/,brocku.ca,2,"2022-02-24 17:19:17"
13,"DeVry Institute of Technology",http://www.cal.devry.ca/,cal.devry.ca,2,"2022-02-24 17:19:17"
14,"Carleton University",http://www.carleton.ca/,carleton.ca,2,"2022-02-24 17:19:18"
15,"Canadian College of Business & Computers",http://www.ccbc.ca/,ccbc.ca,2,"2022-02-24 17:19:18"
16,"Centennial College",http://www.centennialcollege.ca/,centennialcollege.ca,2,"2022-02-24 17:19:18"
17,"Canadian Mennonite University",http://www.cmu.ca/,cmu.ca,5,"2022-02-24 17:19:18"
18,"Concordia University College of Alberta",http://www.concordia.ab.ca/,concordia.ab.ca,4,"2022-02-24 17:19:18"
19,"Conestoga College",http://www.conestogac.on.ca/,conestogac.on.ca,2,"2022-02-24 17:19:18"
20,"Dalhousie University",http://www.dal.ca/,dal.ca,1,"2022-02-24 17:19:19"
21,"Durham College",https://durhamcollege.ca/,dcmail.ca,2,"2022-02-24 17:19:19"
22,"Lakehead University",http://www.lakeheadu.ca/,lakeheadu.ca,2,"2022-02-24 17:19:19"
23,"McMaster University",http://www.mcmaster.ca/,mcmaster.ca,2,"2022-02-24 17:19:19"
24,"Mount Saint Vincent University",http://www.msvu.ca/,msvu.ca,1,"2022-02-24 17:19:19"
25,"Nova Scotia Agricultural College",http://www.nsac.ns.ca/,nsac.ns.ca,1,"2022-02-24 17:19:19"
26,"Nova Scotia College of Art and Design",http://www.nscad.ns.ca/,nscad.ns.ca,1,"2022-02-24 17:19:20"
27,"Ontario College of Art and Design",http://www.ocad.ca/,ocad.ca,2,"2022-02-24 17:19:20"
28,"St. Francis Xavier University",http://www.stfx.ca/,stfx.ca,1,"2022-02-24 17:19:20"
29,"St. Mary's University",https://smu.ca/,smu.ca,1,"2022-02-24 17:19:20"
30,"University College of Cape Breton",http://www.uccb.ns.ca/,uccb.ns.ca,1,"2022-02-24 17:19:20"
31,"University of King's College",http://www.ukings.ns.ca/,ukings.ns.ca,1,"2022-02-24 17:19:21"
32,"St. Anne University",http://www.ustanne.ednet.ns.ca/,ustanne.ednet.ns.ca,1,"2022-02-24 17:19:21"
